soru_id,metin_var_mı,metin,soru_kökü,A,B,C,D,E
1,Evet,"Aşağıda cümlelerin ifade ettiği anlam özellikleri ve örnek cümleler verilmiştir","Buna göre bu cümlelerde kaç numaralı anlam özelliği örneklenmemiştir",I,II,III,IV,
2,Evet,"Bir durum olay ya da kişiyle ilgili tecrübelere dayanılarak peşin hüküm vermeye ön yargı denir","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde ön yargı söz konusudur","Bazı sanatçıların yalnızca roman türünde yapıt kaleme almalarını doğru bulmuyorum","Geçen ay yazmaya başladığım hikâyem ne yazık ki yarışmaya yetişmeyecek","Bir sanat eseriyle ilgili değerlendirmeler duygular katılmadan ortaya konmalıdır","Sanatçının okurun anlama düzeyini göz ardı ederek yazdığı bu şiirlerin kalıcılığı yakalaması bence imkânsız",
3,Evet,"Küçükken köyde yaşamayı çok severdim metni","Bu metin ile ilgili aşağıdakilerden hangisi söylenemez","I cümlede öznel yargı söz konusudur","II cümlede karşılaştırma yapılmıştır","III cümlede tahmin söz konusudur","IV cümlede bir sonuç dile getirilmiştir",
4,Evet,"Charlie Chaplin ve Şarlo karakteri hakkında iki cümle verilmiş","Bu iki cümlede ifade edilenlerin anlamca doğru bir biçimde birleştirilmiş hâli hangisidir","Sinema yönetmeni yazar ve oyuncu olan Charlie Chaplin Şehrin Işıkları adlı filmiyle Oscar Ödülü kazanmıştır","Şarlo karakteriyle tüm dünyada tanınan Charlie Chaplin bu karakterle rol aldığı Şehrin Işıkları filmi ile Oscar Ödülü kazanmıştır","Charlie Chaplin Şehrin Işıkları filmiyle Oscar Ödülü kazanmasının yanı sıra yarattığı Şarlo karakteriyle dünyaca tanınır olmuştur","Şehrin Işıkları filmiyle Oscar Ödülü kazanan Charlie Chaplin yazar oyuncu ve sinema yönetmeni olan Şarlo karakteriyle tanınmıştır",
5,Evet,"Hayatı boyunca çok fazla eser yayımlamamış bir yazar metni","Bu metindeki cümlelerle ilgili aşağıdakilerden hangisi söylenemez","Koşul anlamı vardır","Gerekçeli bir anlatım vardır","Öznel anlatıma yer verilmiştir","Amaç-sonuç cümlesine yer verilmiştir",
6,Evet,"İnsan toplu hâlde yaşayan bir varlıktır metni","Bu metindeki numaralanmış cümlelerle ilgili aşağıdakilerden hangisi yanlıştır","I cümlede tanım yapılmıştır","II cümlede çıkarım yapılmıştır","III cümlede bir saptama yapılmıştır","IV cümlede olasılık anlamı vardır",
7,Evet,"Örtülü anlam tanımı ve Eymen bugün de derse geç kaldı örneği verilmiş","Buna göre aşağıdaki cümlelerin hangisinde örtülü anlam vardır","Bize ufak tefek sorunları büyütmememiz gerektiğini söylerdi","O oyuncakları nerede görsem çocukluk günlerimi hatırlarım","Eskiden bayramlarda kapı kapı dolaşıp şeker toplanırmış","Böylesine lezzetli bir yemeği ne zamandır yememiştim",
8,Evet,"İleri yaşlarda görülen unutkanlık metni","Bu metindeki numaralanmış cümlelerle ilgili aşağıda verilenlerden hangisi yanlıştır","I cümlede unutkanlığın belirtileri verilmiştir","II cümlede unutkanlık problemleri ile ilgili tespitte bulunulmuştur","III cümle koşul-sonuç cümlesidir","IV cümlede varsayım söz konusudur",
9,Evet,"pat diye atılamaz onları - alışkanlıklar pencereden - yavaş yavaş indirmeniz gerekir - merdivenlerden dil dökerek","Numaralanmış sözler anlamlı ve kurallı bir cümle oluşturacak şekilde sıralandığında hangisi baştan üçüncü olur",I,II,III,IV,
10,Evet,"İki saat önce başlayan sınav - Hayatındaki tüm planlamaları mutlaka önceden yapar - En zor günlerinde bile daima senin yanında olacağım - Dönem sonundaki İstanbul gezisine ben asla gelmeyeceğim","Numaralanmış cümlelerin hangisinde kesinlik anlamı yoktur",I,II,III,IV,
11,Evet,"Ülkemizde eğitime erişimin belirli sosyoekonomik gruplar için hâlâ sorunlu olması metni","Bu metindeki numaralanmış cümlelerle ilgili aşağıdakilerden hangisi söylenemez","I cümle neden-sonuç cümlesidir","II cümlede karşılaştırma yapılmıştır","III cümlede koşul söz konusudur","IV cümlede görüş belirtilmiştir",
12,Evet,"kalabilmeyi - yapıtlarında evrensel - isteyen sanatçı - konulara yer vermelidir - geleceğe","Numaralanmış sözler anlamlı ve kurallı bir cümle oluşturacak şekilde sıralandığında hangisi baştan üçüncü olur",I,II,III,IV,
13,Evet,"Jules Verne ve iletişimin geleceği hakkındaki fikirleri metni","metnindeki numaralanmış cümlelerin hangisinde karşılaştırma yapılmıştır",I,II,III,IV,
14,Evet,"Kuytu ormanları tenha bağları geziyor mevsimin yorgun rüzgârı dizeleri","Bu dizelerin anlamlı ve kurallı cümleler hâline getirilmiş biçimi hangisidir","Mevsimin yorgun bağları kuytu ormanları geziyor","Sonbaharın yorgun rüzgârı kuytu ormanları ve tenha bağları geziyor","Kırık ince dalları sarı yapraklarıyla geçmiş bu yoldan sonbahar","Mevsimin yorgun rüzgârı kuytu ormanları ve tenha bağları geziyor İnce dallar kırık yapraklar sarı belli ki bu yoldan da sonbahar geçmiş",
15,Evet,"Öznel anlatım kişisel görüşleri içerir Nesnel anlatım ise kişisel görüşlerden uzak kanıtlanabilir yargılarla oluşturulur","Bu açıklamaya göre aşağıdaki metinlerden hangisinde öznel anlatıma başvurulmuştur","Fransız ve Ruslardan oluşan bir grup araştırmacı 30000 yıl öncesinden kalma bir virüs keşfetti","İtalyan besteci Antonio Vivaldi Dört Mevsim adlı eserini 1700lü yılların başında bir şiirden esinlenerek bestelemiş","Anadolu sığla ağacı dünyada yalnızca ülkemizde yaşayan bir ağaç türü","İsrailde bir şirket çok küçük bir yazıcı üretti",
