soru_id,metin_var_mı,metin,soru_kökü,A,B,C,D,E
1,Evet,"Cümlede bir ögenin açıklayıcısı olarak iki virgül veya iki kısa çizgi arasında kullanılan... ara söz denir","Buna göre aşağıdaki cümlelerin hangisinde ara söz farklı bir ögenin açıklayıcısı olmuştur","Özlemini çektiği yere memleketine gidebilmek için her şeyi yaptı","Bayramın ilk günü İstanbula -yedi tepeli şehre- gidecekmişiz","Yedi sene önce ben Ankaradayken buralarda büyük bir sel felaketi yaşanmış","Bu çiçekleri hayatımın en önemli insanına anneme vereceğim",
2,Evet,"Cümlenin bütün ögelerini kendine bağlayan ve cümlenin yargısını taşıyan sözcük veya sözcük gruplarına yüklem denir","Buna göre aşağıdaki cümlelerin hangisinde yüklem isimdir","Daire sahipleri bir an önce inşaatın bitmesini bekliyorlar","Şevket Bey kimseye görünmeden eve girmek istedi","Bu dünyadaki en önemli amacı iyi bir evlat yetiştirmekmiş","İstediğim hiçbir şey olmuyor bu kış zamanı",
3,Evet,"I O gün dışarı biraz erken çıkmak için annesinden izin almıştı II Tekne yeterli yolcu sayısına ulaştığı anda iskeleden hareket edecek III Denizden nefes nefese gelmiş yemeğini yemiş ve futbola hazır olarak bekliyordu IV Rüzgârın getirdiği başta çam ve anason olmak üzere tüm aromaları içine çekti","Numaralanmış cümlelerle ilgili verilen bilgilerden hangisi yanlıştır","I cümlenin öge dizilişi zarf tamlayıcısı-yer tamlayıcısı-yüklem şeklindedir","II cümlede zarf tamlayıcısı yer almaktadır","III cümlede özne gizli öznedir","IV cümlede özne söz grubundan oluşmaktadır",
4,Evet,"(I) Leyla Hanım aile geleneğinin devam edeceğine ve şimdi oğlu Varujanın imdada koşacağına çok emindi... (III) Kutudan çıkardığı yüzüğünü satıp borçlarını ödemeyi ve bir otele yerleşmeyi planlıyordu","Bu metinde numaralanmış cümlelerden hangilerinin öge sıralanışı nesne-yüklem şeklindedir","I ve II","I ve III","II ve IV","III ve IV",
5,Evet,"Ara söz cümle içinde herhangi bir ögenin açıklayıcısı olabileceği gibi hiçbir ögenin açıklayıcısı da olmayabilir","Buna göre aşağıdaki cümlelerin hangisinde ara söz herhangi bir ögenin açıklayıcısı olmamıştır","En yakın arkadaşım Sırma da -diğerleri gibi- beni bu zor günümde yalnız bırakmadı","Ülkeme güzelim vatanıma hizmet edebilmek için gece gündüz çalışacağım","Kuzenlerim -Gökhan ve Hasan- o günden sonra benim için çok kıymetli oldular","Yaşlı kadın kızını -küçük olanı- kucağına alıp eve götürdü",
6,Evet,"Yer tamlayıcısı yüklemin yöneldiği bulunduğu çıktığı yeri gösteren ögedir...","Buna göre aşağıdaki cümlelerin hangisinde yer tamlayıcısı yanlış gösterilmiştir","Çocuk masa üzerine yayılmış oyuncakları arasında masal kitabını arıyordu","Aradan fazla zaman geçmeden annesi yanına gelip baş ucuna oturdu","Masala kendini iyice kaptırdığı bir anda büyük bir patlama oldu sokakta","Gece geç saat olunca kitabını bırakıp yorganı kafasına çekti",
7,Evet,"Cümleden çıkarıldığında cümlenin anlamında daralma ve bozulma olmayan bazen bir ögenin açıklayıcısı olduğu gibi bazen de cümle dışı unsur olan... ara söz denir","Buna göre aşağıdaki cümlelerin hangisinde ara söz herhangi bir ögenin açıklayıcısı olmamıştır","Lisede yaşadığım her sıkıntıyı önce anneme -tek sırdaşıma- anlatırdım","Seçimde sandık görevlisi olanlardan biri Raşit Bey bu konuda çok tecrübeliymiş","Edebiyatımızın koca çınarı Yaşar Kemal aramızdan ayrılışının dördüncü yıl dönümünde anıldı","Önümüzdeki sene kim ne derse desin Parise gideceğim",
8,Evet,"Bir cümlede özne tarafından yapılan işi eylemi veya durumu bildiren sözcük veya sözcük gruplarına yüklem adı verilir","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde yüklem yanlış gösterilmiştir","Kendisine yapılan düşük maaşlı iş teklifini kabul etmiş","Aldığı yüksek notlardan sonra göze girmeyi başardı","Saygı ve sevgiydi bu yuvanın senelerce ayakta kalmasını sağlayan","Beni en çok üzen şey yakın arkadaşım Mervenin beni aramamasıydı",
9,Evet,"İsim soylu sözcüklerin sonuna gelerek onları yüklem yapan eklere ek fiil denir","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde fiilimsi ek fiil alarak yüklem olmuştur","İnsanın hissedebileceği en güzel duygu sevmektir","Evin arka bahçesindeki çiçeklerin hepsi solmuştu","Kütüphaneye girdikten sonra sakın ses çıkarmayın","Cemile kitap okumayı ve tiyatroya gitmeyi çok severdi",
10,Evet,"Söz öbeği bir sözcüğün herhangi bir özelliğini karşılayıp belirten sözcüklerin birleşerek oluşturduğu sözcük topluluğudur","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde özne bir söz öbeğinden oluşmuştur","Elindeki kitap ve defterleri masanın üzerine bıraktı","İnsanların hayran olduğu bir insandır Atatürk","Bunca insanın çilesini ben çekiyorum yıllardır","Evimizin yanındaki parka yeni fidanlar dikildi",
